Date Time,time (s),int,temp (degC),rh (%),lumen1 (nm),lumen2 (nm)
03.01.2009 01:40:00,297,4,20.74,39.983,215.71,671.6
03.01.2009 01:50:00,299,2,20.87,40.793,172.86,556.6
03.01.2009 02:00:00,300,4,20.74,39.983,215.71,662.4
03.01.2009 02:10:00,300,3,20.47,38.727,198.57,556.6
03.01.2009 02:20:00,301,1,20.49,42.332,185.71,501.4
03.01.2009 02:30:00,303,2,20.88,40.793,174.29,556.6
03.01.2009 02:40:00,304,4,20.74,39.983,215.71,662.4
03.01.2009 02:50:00,304,1,20.48,42.332,188.57,492.2
03.01.2009 03:00:00,305,3,20.47,38.687,197.14,556.6
03.01.2009 03:10:00,307,2,20.87,40.793,171.43,561.2
03.01.2009 03:20:00,308,4,20.74,39.983,212.86,662.4
03.01.2009 03:30:00,308,3,20.47,38.687,200.0,556.6
03.01.2009 03:40:00,308,1,20.48,42.332,188.57,501.4
03.01.2009 03:50:00,311,2,20.88,40.752,171.43,552.0
03.01.2009 04:00:00,312,3,20.48,38.687,198.57,552.0
03.01.2009 04:10:00,313,4,20.74,39.983,217.14,671.6
03.01.2009 04:20:00,313,1,20.48,42.332,187.14,501.4
03.01.2009 04:30:00,315,2,20.87,40.793,172.86,556.6
03.01.2009 04:40:00,316,4,20.74,39.983,217.14,662.4
03.01.2009 04:50:00,317,1,20.48,42.332,187.14,496.8
03.01.2009 05:00:00,317,3,20.47,38.727,198.57,561.2
03.01.2009 05:10:00,319,2,20.87,40.752,171.43,552.0
03.01.2009 05:20:00,320,1,20.48,42.332,187.14,496.8
03.01.2009 05:30:00,321,4,20.73,39.983,212.86,662.4
03.01.2009 05:40:00,322,3,20.46,38.727,200.0,552.0
03.01.2009 05:50:00,323,2,20.88,40.793,172.86,552.0
03.01.2009 06:00:00,324,1,20.49,42.332,184.29,496.8
03.01.2009 06:10:00,325,3,20.47,38.727,198.57,556.6
03.01.2009 06:20:00,325,4,20.74,39.983,212.86,662.4
03.01.2009 06:30:00,327,2,20.88,40.793,167.14,552.0
03.01.2009 06:40:00,328,4,20.74,39.983,215.71,667.0
03.01.2009 06:50:00,328,3,20.46,38.727,198.57,556.6
03.01.2009 07:00:00,329,1,20.49,42.332,188.57,496.8
03.01.2009 07:10:00,331,2,20.87,40.793,171.43,552.0
03.01.2009 07:20:00,332,1,20.49,42.332,187.14,496.8
03.01.2009 07:30:00,333,3,20.46,38.687,198.57,556.6
03.01.2009 07:40:00,333,4,20.74,39.983,215.71,667.0
03.01.2009 07:50:00,335,2,20.86,40.793,172.86,561.2
03.01.2009 08:00:00,336,3,20.47,38.687,198.57,556.6
03.01.2009 08:10:00,336,4,20.74,39.983,214.29,667.0
03.01.2009 08:20:00,337,1,20.48,42.332,188.57,496.8
03.01.2009 08:30:00,339,2,20.87,40.793,172.86,556.6
03.01.2009 08:40:00,340,4,20.74,39.983,215.71,667.0
03.01.2009 08:50:00,341,3,20.46,38.727,197.14,556.6
03.01.2009 09:00:00,341,1,20.49,42.332,187.14,501.4
03.01.2009 09:10:00,343,2,20.88,40.793,167.14,561.2
03.01.2009 09:20:00,344,4,20.74,39.983,215.71,667.0
03.01.2009 09:30:00,344,1,20.48,42.332,187.14,492.2
03.01.2009 09:40:00,345,3,20.46,38.768,198.57,556.6
03.01.2009 09:50:00,347,2,20.87,40.752,174.29,547.4
03.01.2009 10:00:00,348,4,20.74,39.983,215.71,657.8
03.01.2009 10:10:00,349,1,20.48,42.332,185.71,496.8
03.01.2009 10:20:00,349,3,20.46,38.727,198.57,561.2
03.01.2009 10:30:00,351,2,20.88,40.752,172.86,556.6
03.01.2009 10:40:00,352,4,20.74,39.983,215.71,657.8
03.01.2009 10:50:00,353,1,20.49,42.332,187.14,501.4
03.01.2009 11:00:00,353,3,20.47,38.727,197.14,556.6
03.01.2009 11:10:00,355,2,20.88,40.752,171.43,552.0
03.01.2009 11:20:00,356,1,20.5,42.332,188.57,501.4
03.01.2009 11:30:00,357,4,20.74,39.983,217.14,653.2
03.01.2009 11:40:00,358,3,20.46,38.727,198.57,556.6
03.01.2009 11:50:00,359,2,20.87,40.752,172.86,575.0
